id_examinee,math,history,geography,literature,civic_education,english
1000314,6,3.5,7,7.25,7.75,5.2
1000316,6.8,5.75,6.25,7.5,7,8
1000319,8.6,5.25,9,8.5,9,9.4
1000320,8.2,7.75,7.25,9.25,9.25,9.2
1000321,7.6,4.75,7.25,8.25,7.75,9.2
1000322,7.8,3.5,6.25,7.75,8,9.2
1000323,8,6,6.25,7.75,6.75,9.8
1000324,7.6,7,7.5,6.75,8.5,9
1000325,8.8,4.25,7.75,8.75,8,9.4
1000326,8,7.25,8.5,8.25,9.25,9.2
1000327,7,5.75,6.5,8.75,7,9.2
1000329,8.6,7,8,9,9.25,8.8
1000330,8.4,4.25,7.25,8.5,9.75,9.6
1000331,8,6,7.5,9,9.25,9.4
1000333,8.8,6,7.75,9,9,9.4
1000334,7.8,7.5,6.75,7,8.5,8.4
1000335,8.6,7,8.25,8.5,8,9.8
1000336,8,4.25,5.5,6,6.5,9.6
1000339,8.4,8.75,9.25,8,9.75,9.8
1000344,6.4,7,8,7.75,7.75,8.6
1000346,2.8,3.25,5.5,6,9,4.8
1000349,8.6,5.75,7.25,7.75,9.25,8.6
1000350,6.8,7,8.25,8.75,9.75,5.8
1000353,3.2,3,6,7,9.25,3.8
1000355,4.2,2.75,6.75,6.75,7.25,3.8
1000356,8.8,4.25,8.25,8.75,9.5,9
1000359,8.2,8.5,8,7.25,9.25,9.4
1000360,7.4,1.5,6.75,8.25,7.25,5.8
1000362,7.4,6,7.75,7,9,9.2
1000364,5.4,5.25,4.75,8.25,6.25,8.2
1000366,8,4.75,7.5,8,8.5,7.8
1000367,8.4,8.75,9.5,9.25,9.5,9.4
1000369,8,6.25,7.5,8.75,8.25,9.2
1000370,7.8,6,7,7.75,8,10
1000371,7.4,4.25,7,8.25,7.25,9.4
1000372,6.8,4.25,7,8.25,8,8.6
1000373,7.6,3.75,7,7.5,7.75,7.2
1000375,7.4,7.5,5.75,8.5,9.25,9.4
1000376,6.8,5.5,8.75,7.75,9,9.4
1000377,9,4.75,8,8.75,9.5,8.4
1000379,8.8,5,8.5,8,7.5,9.6
1000380,8.4,5,7.25,7.25,9.75,9
1000381,8.8,8,8.5,7.75,8,8.2
1000383,8,6.25,6.5,5.75,8,7.8
1000386,8.2,8,8.75,8.75,9.25,9.8
1000387,8.4,7.5,8.5,8.75,8.75,8.8
1000388,8,4,5.5,8.5,7.25,8.2
1000389,7.8,5.75,8,8.75,7.25,9.6
1000390,6.6,3,6.75,8.25,7.25,8.4
1000509,3,3,5.75,4.75,3,3.2
1000601,8.6,6.25,7.75,8.25,8.5,8.4
1000603,7.4,6.5,8.5,7.75,9.25,10
1000604,7.8,4.75,8.25,7,9,9.4
1000605,7.6,4.75,6.75,8.75,9.25,8.2
1000606,7,4.75,7,8,6.75,6.4
1000608,8.2,5.75,7.5,8.5,8.5,8.8
1000618,7,4.75,7.25,7.75,8.75,6.8
1000619,6.6,2.75,6.75,8.25,6,3.6
1000620,7.8,2,7.25,8.5,8,8.4
1000621,8,8.75,9.25,8.5,9.25,8.4
1000622,6.6,6,6.25,5.5,8,9.8
1000623,8,4.5,7.25,8.25,9,8.2
1000624,8,4,7.25,9,7.5,9.2
1000625,7.2,6.25,9,7.75,9.75,7
1000626,8.2,4.75,6.5,8,8,9.4
1000627,6,3.25,5.25,8.25,6.75,5.2
1000629,7.2,7.25,7.75,7.5,9.25,9.8
1000630,8.2,5.25,7,7.5,7.25,8.8
1000631,8.4,7.25,8,7.25,8.75,9.4
1000632,8.4,5.25,6.5,8.5,8,6.4
1000633,8.6,4,7.5,7.75,7.25,9.6
1000634,7.6,4,6.5,7.25,8,8.8
1000636,8.2,5.25,6.5,8,7.75,9.8
1000637,8,7.5,8,8.25,8.75,9.8
1000638,4,2.25,5.25,4.5,7.25,2.2
1000639,8.4,5,7.5,8.75,8.25,9.4
1000643,2.8,4.25,6.5,6.5,7.75,7.8
1000644,6,7.5,9.25,6.75,9.75,8.8
1000645,7.8,3.75,6.25,8,8,8.8
1000646,7,4,7.25,7.5,8.25,8.4
1000648,8.2,2.5,6.5,7.25,4,8.2
1000649,6.8,3.5,6.5,8.25,7.25,7
1000650,8.6,6.75,8.75,8.25,10,9
1000651,8.4,5.25,7.5,8.5,9,9.6
1000652,8,4,8.5,8.5,8.5,9.6
1000653,7.8,5,7.25,9,8.5,9.6
1000655,8,5.25,8.25,9,8.5,8.2
1000656,6.6,4.25,7.5,8.75,8.75,9.2
1000657,7.8,3.25,7.5,7.75,7.75,8.2
1000659,3.8,4.75,6.5,8,9.25,7.2
1000660,6.4,7.75,8.75,8,9,9.2
1000661,7.4,6.5,7.75,8.5,9.25,9
1000662,6.2,4.5,7.75,6,7.75,1.8
1000664,3.6,6,7,6.75,6.5,3.2
1000668,6,4.5,7.5,7.25,8.5,6
1000670,8.6,3.75,7.25,7.75,8.25,9.4
1000673,2,4.5,6.25,4.5,8.5,4.8
1000678,8.2,4,6.75,7.5,9,10
1000682,5.4,8.75,7,7.75,8.5,8
1000683,7.2,5.25,8,8.25,9.25,9.6
1000688,8.8,7,6,8.5,6.75,10
1000689,7.2,4.75,7,8.5,7,9.2
1000690,2.6,5.25,7.25,7,8.25,3.6
1000693,7.6,4.5,7.75,9,8,9.8
1000694,9,7,8.25,9,9.75,9.8
1000695,8,6,6.5,9,8.75,9.6
1000696,8.8,6.75,8.5,9.25,8.5,9.2
1000697,8.8,4.75,7,8.5,9.25,8.6
1000701,3.6,3.75,4.75,6.75,5.5,4.2
1000703,7.8,5.5,7.25,7.5,9.5,9.4
1000704,7.4,6.25,7.25,8.5,8.5,9.4
1000705,7.4,7.75,8.5,7.5,8.5,9.2
1000706,3,4.75,7.5,6,8.25,9.4
1000708,7.6,6,7.5,8.5,7.75,8.6
1000709,8.6,4.25,4.75,8.5,7.75,9.8
1000711,8.2,7,6.25,7.75,8.5,9.4
1000712,8.2,3.75,8.75,7.75,8.25,9.4
1000713,8,3.75,6.5,8,8.75,9.2
1000715,8.2,4,7.5,8.25,6.5,8.8
1000717,8.8,5,6.5,8.25,8.75,9
1000719,8.2,4.5,7,9,9.5,8.6
1000720,7.4,6.75,6.25,9.25,8.25,9.2
1000721,6.4,6.25,8.75,7.5,9.25,7.4
1000724,8.8,8,8.25,8.5,7,7.8
1000725,7,4.75,6.75,6.75,8.75,9.8
1000727,8,5,7,8.5,9,9
1000728,7.6,3.5,7.25,8.25,7.25,10
1000729,7.8,6,7.25,8.25,8.25,8.4
1000732,8.6,5.75,8.5,8.5,9.25,9.2
1000733,8.4,5.5,8.5,8.5,9.5,9
1000734,7.8,5.75,6.75,8.25,8.75,7.6
1000735,7.4,5,7.25,8.25,7.75,8.6
1000736,7.8,6.75,8.25,8,9.75,5.4
1000737,8.4,6,8.75,8.25,8.25,9.8
1000738,8,4.75,9.25,9,9,9.6
1000739,8,4.25,7.75,7.75,9.5,9
1000741,7.6,4,7,7.25,7.75,9.2
1000742,8.6,7.25,8,7.5,9,8.8
1000743,6.8,4.5,6,7.5,8.5,9
1000744,7.8,4.75,7,8.25,7.25,9.6
1000745,7.8,7,8.5,9,9.75,9.4
1000746,8.4,3,7.25,7.75,7,9.6
1000747,8.2,4.5,7.25,8.5,8.75,9.2
1000748,8.6,7,7.75,6.25,8.25,9.8
1000749,7.4,7.25,7.75,8.5,9.25,9
1000750,8.6,7,8.25,9.25,9.25,9.6
1000751,7,3.75,7.25,7.25,9.5,7.2
1000752,7.6,4.25,6.75,8,8,8
1000753,8.2,2.25,6,8,6,9.6
1000754,8.4,0.5,6.25,7.5,8.25,9
1000755,7.8,5,7,8.5,9.25,8.4
1000758,8.2,5.75,8.75,8.75,9.25,9
1000759,8.8,5.25,6,7.75,8.5,9
1000760,2.6,4,5,6,6,2.8
1000761,6.6,7.75,7.25,8.75,9,9.6
1000763,9,5.5,6,7.75,7.5,9.6
1000764,7.4,3.5,7.5,9,8.25,9.2
1000765,8.4,6.25,7.5,7.5,8,9.4
